Tstar;Omega11;Omega 22
1;1.379024016381128;0
2;1.0487921796906767;0
4;0.8570913796636975;0
6;0.7801817145371701;0
8;0.733867464290636;0
10;0.7009462871354928;0
11;0.6874789799378361;0
12;0.6754406834919376;0
13;0.6645587573113664;0
14;0.654631592;0.750687005
15;0.645517256;0.741371862
16;0.637072794;0.732729785
17;0.629217475;0.724668762
18;0.621875049;0.717114689
19;0.614983457;0.710007005
20;0.60849137;0.703295548
21;0.602355576;0.696938285
22;0.596539528;0.690899629
23;0.591012272;0.685149171
24;0.585746971;0.679660716
25;0.580720452;0.674411526
26;0.575912442;0.669381734
27;0.571305116;0.664553878
28;0.566882879;0.659912518
29;0.562631715;0.655443938
30;0.558539184;0.651135895
31;0.554594397;0.646977413
32;0.550787228;0.642958609
33;0.547108718;0.639070559
34;0.543550672;0.635305171
35;0.540105707;0.631655085
36;0.536767129;0.628113587
37;0.533528721;0.624674537
38;0.530384888;0.621332302
39;0.527330418;0.618081702
40;0.524360598;0.614917965
41;0.52147096;0.61183668
42;0.518657501;0.608833767
43;0.515916416;0.60590544
44;0.513244258;0.603048182
45;0.510637731;0.600258719
46;0.508093837;0.597533998
47;0.505609767;0.594871167
48;0.50318287;0.592267558
49;0.500810653;0.589720674
50;0.498490854;0.58722817
51;0.496221277;0.584787843
52;0.493999862;0.582397623
53;0.491824729;0.58005556
54;0.489694067;0.577759812
55;0.487606145;0.575508645
56;0.48555939;0.573300418
60;0.477754644;0.564867064
70;0.460501795;0.546152964
75;0.452863204;0.537836335
76;0.451402664;0.536244004
88;0.435364892;0.518714137
