Tstar;Omega11;Omega22
3;0.950031688;1.038834295
3.1;0.941767318;1.03002793
3.2;0.933983672;1.021760495
3.3;0.926635526;1.013980004
3.4;0.919681968;1.006641184
3.5;0.913092401;0.999703838
3.6;0.906833507;0.993132667
3.7;0.900878512;0.986896439
3.8;0.89520419;0.980967156
3.9;0.889788205;0.975320042
4;0.884608976;0.969932906
4.1;0.879652096;0.964785706
4.2;0.874900899;0.959860719
4.3;0.870339603;0.955141601
4.4;0.865957263;0.950613805
4.5;0.861740588;0.946264071
4.6;0.857679669;0.942080474
4.7;0.853764059;0.938051971
4.8;0.849984976;0.934168613
4.9;0.846334376;0.930421279
5;0.842809725;0.926801625
6;0.812850514;0.896206988
7;0.789786268;0.872750805
8;0.771153748;0.853817119
9;0.7555807;0.837975238
10;0.742233142;0.824369586
11;0.730572911;0.812452393
12;0.72023183;0.801853656
13;0.710949404;0.79231246
14;0.702534527;0.783638234
15;0.69484306;0.775687684
16;0.687763777;0.76835039
17;0.681209065;0.761539485
18;0.675108762;0.7551854
19;0.669405785;0.749231551
20;0.664053192;0.743631293
21;0.659011655;0.738345716
22;0.654248247;0.733342016
23;0.649734918;0.728592281
24;0.645447632;0.724072557
25;0.641365643;0.719762134
26;0.637470912;0.715642983
27;0.633747644;0.711699307
28;0.630181983;0.707917191
29;0.626761636;0.70428431
30;0.623475709;0.700789698
31;0.620314469;0.697423551
32;0.617269194;0.694177071
33;0.614332035;0.691042331
34;0.611495926;0.688012163
35;0.608754413;0.685080067
36;0.606101704;0.682240125
37;0.603532476;0.67948694
38;0.601041869;0.676815571
39;0.598625441;0.674221486
40;0.596279107;0.671700515
41;0.593999103;0.669248818
42;0.591781965;0.666862845
43;0.589624483;0.664539312
44;0.587523687;0.66227517
45;0.585476821;0.66006759
46;0.583481321;0.657913938
47;0.581534801;0.655811756
48;0.579635031;0.653758751
49;0.577779937;0.651752777
50;0.57596757;0.649791826
51;0.574196102;0.647874013
52;0.57246383;0.645997569
53;0.570769143;0.644160828
54;0.569110531;0.642362226
55;0.567486568;0.640600284
56;0.565895915;0.638873609
57;0.564337303;0.637180885
58;0.562809536;0.635520867
59;0.56131148;0.633892376
60;0.559842067;0.632294295
61;0.55840028;0.630725566
62;0.556985153;0.629185182
63;0.555595774;0.627672189
64;0.554231273;0.626185679
65;0.552890823;0.624724786
66;0.551573606;0.623288687
67;0.550278969;0.621876598
68;0.5490061;0.62048777
69;0.547754351;0.619121488
70;0.546523072;0.617777069
71;0.54531164;0.616453861
72;0.544119463;0.615151239
73;0.542945971;0.613868607
74;0.541790623;0.612605392
75;0.540652893;0.611361046
76;0.539532288;0.610135043
77;0.538428326;0.608926878
78;0.537340548;0.607736068
79;0.536268516;0.606562148
80;0.535211803;0.605404671
81;0.534170006;0.604263207
82;0.533142731;0.603137342
83;0.532129603;0.60202668
84;0.531130262;0.600930838
85;0.530144357;0.599849446
86;0.529171552;0.598782148
87;0.528211527;0.597728604
88;0.527263966;0.596688481
89;0.526328572;0.595661461
90;0.525405052;0.594647236
91;0.524493128;0.593645509
92;0.523592527;0.592655992
93;0.52270299;0.591678407
94;0.521824264;0.590712487
95;0.520956105;0.589757972
96;0.520098275;0.58881461
97;0.519250548;0.587882159
98;0.518412701;0.586960382
99;0.517584522;0.586049053
100;0.516765814;0.585147961
105;0.512807289;0.580788567
110;0.509057592;0.576655312
115;0.505496964;0.572727077
120;0.502108279;0.568985523
125;0.498876596;0.565414631
130;0.495788809;0.562000327
135;0.49283336;0.558730181
140;0.490000003;0.555593161
145;0.487279619;0.552579438
150;0.484664053;0.54968021
155;0.482145988;0.546887574
160;0.479718833;0.544194401
165;0.477376631;0.541594242
170;0.47511398;0.539081245
175;0.472925971;0.536650085
180;0.470808123;0.5342959
185;0.468756341;0.532014241
190;0.466766872;0.529801029
195;0.464836268;0.527652512
200;0.462961351;0.525565232
205;0.461139193;0.523535997
210;0.459367082;0.521561853
215;0.457642509;0.519640062
220;0.455963144;0.517768082
225;0.454326822;0.515943548
230;0.452731523;0.514164254
235;0.451175368;0.512428144
240;0.449656599;0.510733297
245;0.448173571;0.509077912
250;0.446724745;0.507460303
255;0.445308675;0.505878887
260;0.443924005;0.504332178
265;0.442569457;0.502818776
270;0.441243831;0.501337363
275;0.439945995;0.499886697
280;0.438674879;0.498465604
285;0.437429473;0.497072975
290;0.436208824;0.495707763
293;0.43548794;0.49490138
294;0.435249521;0.494634664
295;0.435012028;0.494368974
296;0.434775455;0.494104303
297;0.434539795;0.493840644
298;0.434305042;0.49357799
299;0.434071188;0.493316333
300;0.433838229;0.493055667
