Ar
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 50000 1.07826e+13 1.29889e+13 1.10438e+13 1.2331e+13 1.16221e+13 1.3381e+13 1.24447e+13 1.21088e+13 3.01085e+08
 100000 4.27997e+13 5.16291e+13 4.3842e+13 4.89984e+13 4.61565e+13 5.31997e+13 4.94515e+13 4.8107e+13 9.14419e+10
 150000 9.56152e+13 1.15482e+14 9.79449e+13 1.09559e+14 1.03158e+14 1.19023e+14 1.1058e+14 1.07554e+14 9.1767e+10
 200000 1.68806e+14 2.0411e+14 1.72912e+14 1.93577e+14 1.82191e+14 2.10428e+14 1.95399e+14 1.90016e+14 9.211e+10
 250000 2.61965e+14 3.17083e+14 2.68316e+14 3.00627e+14 2.82833e+14 3.27004e+14 3.03488e+14 2.95075e+14 9.24434e+10
 300000 3.74699e+14 4.53971e+14 3.83741e+14 4.3029e+14 4.04666e+14 4.68356e+14 4.34437e+14 4.22317e+14 9.27819e+10
 350000 5.06611e+14 6.14347e+14 5.1877e+14 5.82151e+14 5.47276e+14 6.34094e+14 5.8784e+14 5.71334e+14 9.31267e+10
 400000 6.57305e+14 7.97782e+14 6.72982e+14 7.55797e+14 7.10261e+14 8.23827e+14 7.63295e+14 7.4172e+14 9.347e+10
 450000 8.26395e+14 1.00387e+15 8.45961e+14 9.50827e+14 8.93219e+14 1.03716e+15 9.60403e+14 9.33071e+14 9.38185e+10
 500000 1.0135e+15 1.2322e+15 1.0373e+15 1.16684e+15 1.09575e+15 1.27373e+15 1.17877e+15 1.145e+15 9.41658e+10
 550000 1.21825e+15 1.4824e+15 1.2466e+15 1.40346e+15 1.31745e+15 1.53315e+15 1.41802e+15 1.37711e+15 9.45195e+10
 600000 1.44026e+15 1.75408e+15 1.47348e+15 1.66029e+15 1.55793e+15 1.81507e+15 1.67776e+15 1.62903e+15 9.48709e+10
 650000 1.67916e+15 2.04685e+15 1.71755e+15 1.93696e+15 1.8168e+15 2.11915e+15 1.95763e+15 1.90039e+15 9.52216e+10
 700000 1.93459e+15 2.36034e+15 1.97844e+15 2.2331e+15 2.09366e+15 2.44503e+15 2.25726e+15 2.19081e+15 9.55707e+10
 750000 2.20619e+15 2.69419e+15 2.25578e+15 2.54834e+15 2.38813e+15 2.79238e+15 2.57628e+15 2.49993e+15 9.59311e+10
 800000 2.49362e+15 3.04807e+15 2.54923e+15 2.88233e+15 2.69985e+15 3.16084e+15 2.91434e+15 2.82739e+15 9.62764e+10
 850000 2.79656e+15 3.42163e+15 2.85845e+15 3.2347e+15 3.02843e+15 3.55009e+15 3.27107e+15 3.17286e+15 9.66299e+10
 900000 3.11469e+15 3.81456e+15 3.1831e+15 3.6051e+15 3.37353e+15 3.95978e+15 3.64614e+15 3.536e+15 9.69771e+10
 950000 3.44772e+15 4.22651e+15 3.52286e+15 3.99319e+15 3.73477e+15 4.38961e+15 4.03919e+15 3.91646e+15 9.73211e+10
 1e+06 3.79535e+15 4.65716e+15 3.87741e+15 4.39862e+15 4.11181e+15 4.83926e+15 4.4499e+15 4.31393e+15 9.76681e+10
 1e+06 3.80023e+15 4.66332e+15 3.87049e+15 4.40752e+15 4.12303e+15 4.84579e+15 4.45878e+15 4.31981e+15 6.63936e+09
 2e+06 1.33881e+16 1.67334e+16 1.36478e+16 1.57369e+16 1.45136e+16 1.75389e+16 1.59298e+16 1.53938e+16 1.36167e+10
 3e+06 2.67028e+16 3.38518e+16 2.73447e+16 3.20002e+16 2.90162e+16 3.59645e+16 3.2327e+16 3.11161e+16 2.04455e+10
 4e+06 4.23644e+16 5.43082e+16 4.37311e+16 5.2029e+16 4.63147e+16 5.85655e+16 5.23031e+16 5.01023e+16 2.71912e+10
 5e+06 5.94417e+16 7.70211e+16 6.205e+16 7.51383e+16 6.55814e+16 8.41479e+16 7.49559e+16 7.14419e+16 3.34759e+10
 6e+06 7.75243e+16 1.01391e+17 8.17805e+16 1.00583e+17 8.64292e+16 1.12203e+17 9.97385e+16 9.46026e+16 3.96135e+10
 7e+06 9.67138e+16 1.27054e+17 1.02557e+17 1.27701e+17 1.08536e+17 1.42347e+17 1.26195e+17 1.19227e+17 4.55528e+10
 8e+06 1.17037e+17 1.53759e+17 1.24082e+17 1.561e+17 1.31564e+17 1.7421e+17 1.53958e+17 1.45025e+17 5.1496e+10
 9e+06 1.38262e+17 1.81342e+17 1.46157e+17 1.8565e+17 1.55268e+17 2.07415e+17 1.82778e+17 1.71768e+17 5.75907e+10
 1e+07 1.60126e+17 2.09744e+17 1.68534e+17 2.16134e+17 1.79572e+17 2.41616e+17 2.12441e+17 1.99252e+17 6.38291e+10
 1.1e+07 1.82434e+17 2.3883e+17 1.90944e+17 2.47354e+17 2.04443e+17 2.76393e+17 2.4273e+17 2.27266e+17 7.00616e+10
 1.2e+07 2.04845e+17 2.68402e+17 2.13015e+17 2.79008e+17 2.29885e+17 3.11481e+17 2.73458e+17 2.55577e+17 7.58792e+10
 1.3e+07 2.27168e+17 2.98604e+17 2.34575e+17 3.10818e+17 2.56119e+17 3.46721e+17 3.04552e+17 2.84111e+17 8.19803e+10
 1.4e+07 2.49648e+17 3.29778e+17 2.55595e+17 3.4264e+17 2.83238e+17 3.8205e+17 3.35976e+17 3.12922e+17 8.78734e+10
 1.5e+07 2.72545e+17 3.62169e+17 2.76104e+17 3.7441e+17 3.11346e+17 4.17416e+17 3.67724e+17 3.42077e+17 9.34566e+10
 1.6e+07 2.95859e+17 3.95699e+17 2.96012e+17 4.06353e+17 3.40449e+17 4.52884e+17 3.99896e+17 3.71613e+17 9.9228e+10
 1.7e+07 3.19372e+17 4.30214e+17 3.15408e+17 4.38656e+17 3.7033e+17 4.88559e+17 4.32515e+17 4.01508e+17 1.04742e+11
 1.8e+07 3.42888e+17 4.65489e+17 3.34375e+17 4.71508e+17 4.00714e+17 5.24505e+17 4.65576e+17 4.31712e+17 1.10623e+11
 1.9e+07 3.66238e+17 5.01473e+17 3.52954e+17 5.05295e+17 4.3143e+17 5.60749e+17 4.99158e+17 4.6225e+17 1.16739e+11
 2e+07 3.89464e+17 5.38073e+17 3.71117e+17 5.40011e+17 4.62676e+17 5.97176e+17 5.33287e+17 4.93126e+17 1.22709e+11
 2e+07 3.75748e+17 5.58781e+17 3.6068e+17 5.736e+17 5.11376e+17 5.79618e+17 5.54865e+17 5.05613e+17 1.22522e+11
 4e+07 9.03763e+17 1.43394e+18 6.98968e+17 1.37061e+18 1.23542e+18 1.33904e+18 1.31502e+18 1.1939e+18 2.24784e+11
 6e+07 1.45279e+18 2.4271e+18 1.1616e+18 2.43109e+18 1.81609e+18 2.12722e+18 2.1248e+18 1.94708e+18 3.76043e+11
 8e+07 2.00941e+18 3.29873e+18 1.76091e+18 3.86289e+18 2.14236e+18 2.66142e+18 2.88889e+18 2.67587e+18 5.59956e+11
 1e+08 2.62007e+18 3.8835e+18 2.21025e+18 5.51618e+18 2.28103e+18 3.26394e+18 3.68705e+18 3.37407e+18 7.59796e+11
 1.2e+08 3.24361e+18 4.48368e+18 2.75672e+18 7.44298e+18 2.53198e+18 4.07242e+18 4.68246e+18 4.20734e+18 9.33247e+11
