Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 2.14957e+06 -2.14957e+06 2.14957e+06
 100000 8.5638e+06 -8.5638e+06 8.5638e+06
 150000 1.91917e+07 -1.91917e+07 1.91917e+07
 200000 3.39831e+07 -3.39831e+07 3.39831e+07
 250000 5.28881e+07 -5.28881e+07 5.28881e+07
 300000 7.58576e+07 -7.58576e+07 7.58576e+07
 350000 1.02843e+08 -1.02843e+08 1.02843e+08
 400000 1.33798e+08 -1.33798e+08 1.33798e+08
 450000 1.68673e+08 -1.68673e+08 1.68673e+08
 500000 2.07424e+08 -2.07424e+08 2.07424e+08
 550000 2.50002e+08 -2.50002e+08 2.50002e+08
 600000 2.96363e+08 -2.96363e+08 2.96363e+08
 650000 3.4646e+08 -3.4646e+08 3.4646e+08
 700000 4.00249e+08 -4.00249e+08 4.00249e+08
 750000 4.57685e+08 -4.57685e+08 4.57685e+08
 800000 5.18724e+08 -5.18724e+08 5.18724e+08
 850000 5.83322e+08 -5.83322e+08 5.83322e+08
 900000 6.51436e+08 -6.51436e+08 6.51436e+08
 950000 7.23024e+08 -7.23024e+08 7.23024e+08
 1e+06 7.98044e+08 -7.98044e+08 7.98044e+08
 1e+06 7.98503e+08 -7.98503e+08 7.98503e+08
 2e+06 2.95864e+09 -2.95864e+09 2.95864e+09
 3e+06 6.17974e+09 -6.17974e+09 6.17974e+09
 4e+06 1.02285e+10 -1.02285e+10 1.02285e+10
 5e+06 1.493e+10 -1.493e+10 1.493e+10
 6e+06 2.01527e+10 -2.01527e+10 2.01527e+10
 7e+06 2.58038e+10 -2.58038e+10 2.58038e+10
 8e+06 3.18093e+10 -3.18093e+10 3.18093e+10
 9e+06 3.81019e+10 -3.81019e+10 3.81019e+10
 1e+07 4.46186e+10 -4.46186e+10 4.46186e+10
 1.1e+07 5.13058e+10 -5.13058e+10 5.13058e+10
 1.2e+07 5.81203e+10 -5.81203e+10 5.81203e+10
 1.3e+07 6.50422e+10 -6.50422e+10 6.50422e+10
 1.4e+07 7.20609e+10 -7.20609e+10 7.20609e+10
 1.5e+07 7.91654e+10 -7.91654e+10 7.91654e+10
 1.6e+07 8.63436e+10 -8.63436e+10 8.63436e+10
 1.7e+07 9.35731e+10 -9.35731e+10 9.35731e+10
 1.8e+07 1.00838e+11 -1.00838e+11 1.00838e+11
 1.9e+07 1.08124e+11 -1.08124e+11 1.08124e+11
 2e+07 1.15427e+11 -1.15427e+11 1.15427e+11
 2e+07 1.1448e+11 -1.1448e+11 1.1448e+11
 4e+07 2.65605e+11 -2.65605e+11 2.65605e+11
 6e+07 4.19822e+11 -4.19822e+11 4.19822e+11
 8e+07 5.78642e+11 -5.78642e+11 5.78642e+11
 1e+08 7.51184e+11 -7.51184e+11 7.51184e+11
 1.2e+08 9.1473e+11 -9.1473e+11 9.1473e+11
 1.4e+08 1.07874e+12 -1.07874e+12 1.07874e+12
 1.6e+08 1.22254e+12 -1.22254e+12 1.22254e+12
 1.8e+08 1.34711e+12 -1.34711e+12 1.34711e+12
 2e+08 1.47664e+12 -1.47664e+12 1.47664e+12
 2.2e+08 1.60119e+12 -1.60119e+12 1.60119e+12
 2.4e+08 1.71144e+12 -1.71144e+12 1.71144e+12
 2.6e+08 1.79655e+12 -1.79655e+12 1.79655e+12
 2.8e+08 1.88138e+12 -1.88138e+12 1.88138e+12
 3e+08 1.95386e+12 -1.95386e+12 1.95386e+12
 3.2e+08 2.00945e+12 -2.00945e+12 2.00945e+12
 3.4e+08 2.06503e+12 -2.06503e+12 2.06503e+12
 3.6e+08 2.12156e+12 -2.12156e+12 2.12156e+12
 3.8e+08 2.17897e+12 -2.17897e+12 2.17897e+12
 4e+08 2.26429e+12 -2.26429e+12 2.26429e+12
 4e+08 2.76342e+12 -2.76342e+12 2.76342e+12
 8e+08 4.93177e+12 -4.93177e+12 4.93177e+12
 1.2e+09 6.88629e+12 -6.88629e+12 6.88629e+12
 1.6e+09 1.41787e+13 -1.41787e+13 1.41787e+13
 2e+09 2.28467e+13 -2.28467e+13 2.28467e+13
