Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 4.02923e+07 5.82244e+06
 100000 1.60591e+08 2.28051e+07
 150000 3.60035e+08 5.0253e+07
 200000 6.37775e+08 8.75193e+07
 250000 9.92971e+08 1.34003e+08
 300000 1.42479e+09 1.89146e+08
 350000 1.93242e+09 2.52426e+08
 400000 2.51503e+09 3.23359e+08
 450000 3.17183e+09 4.01495e+08
 500000 3.90201e+09 4.86413e+08
 550000 4.7048e+09 5.77721e+08
 600000 5.5794e+09 6.75053e+08
 650000 6.52505e+09 7.78065e+08
 700000 7.54098e+09 8.86437e+08
 750000 8.62644e+09 9.99867e+08
 800000 9.78068e+09 1.11807e+09
 850000 1.1003e+10 1.24079e+09
 900000 1.22925e+10 1.36776e+09
 950000 1.36487e+10 1.49877e+09
 1e+06 1.50707e+10 1.63359e+09
 1e+06 1.5071e+10 1.63369e+09
 2e+06 5.63089e+10 4.89081e+09
 3e+06 1.18636e+11 8.72511e+09
 4e+06 1.9795e+11 1.28029e+10
 5e+06 2.90942e+11 1.70111e+10
 6e+06 3.9495e+11 2.13051e+10
 7e+06 5.07844e+11 2.56703e+10
 8e+06 6.27921e+11 3.00993e+10
 9e+06 7.53821e+11 3.45842e+10
 1e+07 8.84446e+11 3.91138e+10
 1.1e+07 1.01891e+12 4.36677e+10
 1.2e+07 1.1565e+12 4.82438e+10
 1.3e+07 1.29663e+12 5.28423e+10
 1.4e+07 1.43882e+12 5.74548e+10
 1.5e+07 1.58267e+12 6.20824e+10
 1.6e+07 1.72788e+12 6.6734e+10
 1.7e+07 1.87419e+12 7.14011e+10
 1.8e+07 2.02142e+12 7.60713e+10
 1.9e+07 2.16936e+12 8.07335e+10
 2e+07 2.31785e+12 8.53927e+10
 2e+07 2.31487e+12 8.59558e+10
 4e+07 5.30803e+12 1.8025e+11
 6e+07 8.31046e+12 2.7305e+11
 8e+07 1.13315e+13 3.64851e+11
 1e+08 1.4356e+13 4.56185e+11
 1.2e+08 1.7418e+13 5.49966e+11
 1.4e+08 2.0488e+13 6.44305e+11
 1.6e+08 2.35868e+13 7.41524e+11
 1.8e+08 2.66591e+13 8.40132e+11
 2e+08 2.97027e+13 9.41104e+11
 2.2e+08 3.27553e+13 1.04436e+12
 2.4e+08 3.57903e+13 1.15314e+12
 2.6e+08 3.87785e+13 1.25773e+12
 2.8e+08 4.17565e+13 1.36018e+12
 3e+08 4.47286e+13 1.46171e+12
 3.2e+08 4.77415e+13 1.56328e+12
 3.4e+08 5.0775e+13 1.66919e+12
 3.6e+08 5.38163e+13 1.7786e+12
 3.8e+08 5.6816e+13 1.89068e+12
 4e+08 5.97965e+13 1.99675e+12
 4e+08 5.96054e+13 1.97869e+12
 8e+08 1.17662e+14 3.92142e+12
 1.2e+09 1.82203e+14 5.76422e+12
 1.6e+09 2.3921e+14 8.64792e+12
 2e+09 2.84912e+14 1.06396e+13
