Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 144624 134917 140895 140146
 100000 572321 533629 557377 554442
 150000 1.27534e+06 1.18845e+06 1.24149e+06 1.2351e+06
 200000 2.24655e+06 2.0922e+06 2.18591e+06 2.17488e+06
 250000 3.4793e+06 3.23821e+06 3.38376e+06 3.36709e+06
 300000 4.9675e+06 4.62023e+06 4.82861e+06 4.80545e+06
 350000 6.70538e+06 6.23235e+06 6.5145e+06 6.48407e+06
 400000 8.68747e+06 8.06908e+06 8.43599e+06 8.39751e+06
 450000 1.09086e+07 1.01253e+07 1.0588e+07 1.05406e+07
 500000 1.33639e+07 1.23963e+07 1.29656e+07 1.29086e+07
 500000 1.33573e+07 1.23957e+07 1.29675e+07 1.29068e+07
 1e+06 4.98532e+07 4.60412e+07 4.82177e+07 4.80374e+07
 1.5e+06 1.05575e+08 9.73724e+07 1.02088e+08 1.01678e+08
 2e+06 1.77935e+08 1.64016e+08 1.7201e+08 1.7132e+08
 2.5e+06 2.65058e+08 2.4398e+08 2.56039e+08 2.55026e+08
 3e+06 3.6521e+08 3.35303e+08 3.52839e+08 3.51117e+08
 3.5e+06 4.76817e+08 4.36426e+08 4.61502e+08 4.58248e+08
 4e+06 5.98682e+08 5.46164e+08 5.81341e+08 5.75396e+08
 4.5e+06 7.29931e+08 6.63588e+08 7.11655e+08 7.01725e+08
 5e+06 8.69831e+08 7.87751e+08 8.51634e+08 8.36405e+08
 5e+06 8.52249e+08 7.79243e+08 8.59652e+08 8.30382e+08
 1e+07 2.64929e+09 2.26651e+09 2.63402e+09 2.51661e+09
 1.5e+07 4.82082e+09 4.0379e+09 4.88325e+09 4.58066e+09
 2e+07 7.08571e+09 5.84143e+09 7.398e+09 6.77505e+09
 2.5e+07 9.32497e+09 7.50565e+09 1.01065e+10 8.97903e+09
 3e+07 1.14442e+10 9.00054e+09 1.28764e+10 1.1107e+10
 3.5e+07 1.3422e+10 1.03318e+10 1.57171e+10 1.3157e+10
 4e+07 1.51524e+10 1.15182e+10 1.83962e+10 1.50223e+10
 4.5e+07 1.65615e+10 1.26389e+10 2.08688e+10 1.66897e+10
 5e+07 1.78581e+10 1.38369e+10 2.31666e+10 1.82872e+10
 5e+07 1.27608e+10 1.31774e+10 2.20306e+10 1.59896e+10
 1e+08 2.64948e+10 3.23759e+10 3.49322e+10 3.12676e+10
 1.5e+08 4.32363e+10 5.02729e+10 4.14907e+10 4.5e+10
 2e+08 6.8274e+10 6.40041e+10 4.85947e+10 6.02909e+10
 2.5e+08 8.5403e+10 7.0775e+10 4.71349e+10 6.7771e+10
 3e+08 1.08514e+11 7.81846e+10 3.9384e+10 7.53609e+10
 3.5e+08 1.12393e+11 8.47151e+10 3.8256e+10 7.84546e+10
 4e+08 1.12267e+11 1.09107e+11 3.84743e+10 8.66161e+10
 4.5e+08 1.1957e+11 1.41835e+11 4.0989e+10 1.00798e+11
 5e+08 1.03184e+11 1.68173e+11 4.45266e+10 1.05295e+11
 5e+08 4.60474e+10 9.40955e+10 3.37828e+10 5.79753e+10
 1e+09 7.5082e+09 1.68191e+11 1.33729e+11 1.03143e+11
