Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Arplus_Arplus	MSD__Arplus_Ar	MSD__Ar_Ar	
 50000 1.34028e+07 -1.34028e+07 1.34028e+07
 100000 5.34616e+07 -5.34616e+07 5.34616e+07
 150000 1.19955e+08 -1.19955e+08 1.19955e+08
 200000 2.12663e+08 -2.12663e+08 2.12663e+08
 250000 3.31368e+08 -3.31368e+08 3.31368e+08
 300000 4.75849e+08 -4.75849e+08 4.75849e+08
 350000 6.45889e+08 -6.45889e+08 6.45889e+08
 400000 8.41271e+08 -8.41271e+08 8.41271e+08
 450000 1.06179e+09 -1.06179e+09 1.06179e+09
 500000 1.30722e+09 -1.30722e+09 1.30722e+09
 550000 1.57736e+09 -1.57736e+09 1.57736e+09
 600000 1.87198e+09 -1.87198e+09 1.87198e+09
 650000 2.19089e+09 -2.19089e+09 2.19089e+09
 700000 2.53386e+09 -2.53386e+09 2.53386e+09
 750000 2.90071e+09 -2.90071e+09 2.90071e+09
 800000 3.29122e+09 -3.29122e+09 3.29122e+09
 850000 3.70519e+09 -3.70519e+09 3.70519e+09
 900000 4.14241e+09 -4.14241e+09 4.14241e+09
 950000 4.60269e+09 -4.60269e+09 4.60269e+09
 1e+06 5.08583e+09 -5.08583e+09 5.08583e+09
 1e+06 5.085e+09 -5.085e+09 5.085e+09
 2e+06 1.92458e+10 -1.92458e+10 1.92458e+10
 3e+06 4.10143e+10 -4.10143e+10 4.10143e+10
 4e+06 6.91005e+10 -6.91005e+10 6.91005e+10
 5e+06 1.02369e+11 -1.02369e+11 1.02369e+11
 6e+06 1.39852e+11 -1.39852e+11 1.39852e+11
 7e+06 1.80794e+11 -1.80794e+11 1.80794e+11
 8e+06 2.24715e+11 -2.24715e+11 2.24715e+11
 9e+06 2.71322e+11 -2.71322e+11 2.71322e+11
 1e+07 3.20299e+11 -3.20299e+11 3.20299e+11
 1.1e+07 3.7125e+11 -3.7125e+11 3.7125e+11
 1.2e+07 4.23822e+11 -4.23822e+11 4.23822e+11
 1.3e+07 4.77552e+11 -4.77552e+11 4.77552e+11
 1.4e+07 5.32324e+11 -5.32324e+11 5.32324e+11
 1.5e+07 5.88172e+11 -5.88172e+11 5.88172e+11
 1.6e+07 6.45182e+11 -6.45182e+11 6.45182e+11
 1.7e+07 7.03347e+11 -7.03347e+11 7.03347e+11
 1.8e+07 7.62603e+11 -7.62603e+11 7.62603e+11
 1.9e+07 8.22973e+11 -8.22973e+11 8.22973e+11
 2e+07 8.84286e+11 -8.84286e+11 8.84286e+11
 2e+07 8.4319e+11 -8.4319e+11 8.4319e+11
 4e+07 2.11944e+12 -2.11944e+12 2.11944e+12
 6e+07 3.61396e+12 -3.61396e+12 3.61396e+12
 8e+07 5.41076e+12 -5.41076e+12 5.41076e+12
 1e+08 7.35569e+12 -7.35569e+12 7.35569e+12
 1.2e+08 8.96432e+12 -8.96432e+12 8.96432e+12
 1.4e+08 1.10756e+13 -1.10756e+13 1.10756e+13
 1.6e+08 1.38056e+13 -1.38056e+13 1.38056e+13
 1.8e+08 1.69942e+13 -1.69942e+13 1.69942e+13
 2e+08 2.05021e+13 -2.05021e+13 2.05021e+13
 2.2e+08 2.42108e+13 -2.42108e+13 2.42108e+13
 2.4e+08 2.69734e+13 -2.69734e+13 2.69734e+13
 2.6e+08 2.95505e+13 -2.95505e+13 2.95505e+13
 2.8e+08 3.16619e+13 -3.16619e+13 3.16619e+13
 3e+08 3.31898e+13 -3.31898e+13 3.31898e+13
 3.2e+08 3.41873e+13 -3.41873e+13 3.41873e+13
 3.4e+08 3.72173e+13 -3.72173e+13 3.72173e+13
 3.6e+08 3.94617e+13 -3.94617e+13 3.94617e+13
 3.8e+08 4.06817e+13 -4.06817e+13 4.06817e+13
 4e+08 4.42886e+13 -4.42886e+13 4.42886e+13
 4e+08 3.10585e+13 -3.10585e+13 3.10585e+13
