Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Arplus	MSD__Ar	
 50000 3.39904e+07 2.3115e+07
 100000 1.30275e+08 9.22181e+07
 150000 2.81172e+08 2.06949e+08
 200000 4.80036e+08 3.66949e+08
 250000 7.21093e+08 5.71862e+08
 300000 9.99319e+08 8.21336e+08
 350000 1.31033e+09 1.11502e+09
 400000 1.65029e+09 1.45256e+09
 450000 2.01586e+09 1.83362e+09
 500000 2.40412e+09 2.25786e+09
 550000 2.81251e+09 2.72492e+09
 600000 3.23877e+09 3.23449e+09
 650000 3.68092e+09 3.78623e+09
 700000 4.13719e+09 4.37979e+09
 750000 4.60604e+09 5.01486e+09
 800000 5.08611e+09 5.69111e+09
 850000 5.57619e+09 6.4082e+09
 900000 6.0752e+09 7.16583e+09
 950000 6.58221e+09 7.96367e+09
 1e+06 7.09638e+09 8.80141e+09
 1e+06 7.09495e+09 8.79933e+09
 2e+06 1.81419e+10 3.3471e+10
 3e+06 2.96721e+10 7.16967e+10
 4e+06 4.13554e+10 1.21472e+11
 5e+06 5.30732e+10 1.81045e+11
 6e+06 6.48696e+10 2.48925e+11
 7e+06 7.67228e+10 3.23835e+11
 8e+06 8.85873e+10 4.04699e+11
 9e+06 1.00482e+11 4.9059e+11
 1e+07 1.12288e+11 5.80726e+11
 1.1e+07 1.24078e+11 6.74422e+11
 1.2e+07 1.35965e+11 7.71114e+11
 1.3e+07 1.47904e+11 8.70307e+11
 1.4e+07 1.59868e+11 9.7156e+11
 1.5e+07 1.71873e+11 1.0745e+12
 1.6e+07 1.83805e+11 1.17882e+12
 1.7e+07 1.95726e+11 1.28425e+12
 1.8e+07 2.07689e+11 1.39061e+12
 1.9e+07 2.19707e+11 1.49769e+12
 2e+07 2.31764e+11 1.60532e+12
 2e+07 2.31998e+11 1.58933e+12
 4e+07 4.75997e+11 3.75764e+12
 6e+07 7.22578e+11 5.93409e+12
 8e+07 9.73253e+11 8.08792e+12
 1e+08 1.22501e+12 1.01873e+13
 1.2e+08 1.47453e+12 1.22364e+13
 1.4e+08 1.72498e+12 1.43678e+13
 1.6e+08 1.97741e+12 1.65456e+13
 1.8e+08 2.22281e+12 1.86202e+13
 2e+08 2.49622e+12 2.06625e+13
 2.2e+08 2.7866e+12 2.27281e+13
 2.4e+08 3.0455e+12 2.47269e+13
 2.6e+08 3.31936e+12 2.66661e+13
 2.8e+08 3.58696e+12 2.83726e+13
 3e+08 3.85086e+12 3.03246e+13
 3.2e+08 4.09664e+12 3.24224e+13
 3.4e+08 4.35921e+12 3.47322e+13
 3.6e+08 4.59482e+12 3.66563e+13
 3.8e+08 4.83913e+12 3.86122e+13
 4e+08 5.15699e+12 4.07902e+13
 4e+08 4.82611e+12 4.04512e+13
