# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 2977.87 -1.54458 500.016 1.00027
200000 2977.87 -1.34437 499.982 0.999599
300000 2977.87 -1.27803 499.971 0.999909
400000 2977.87 -1.76752 500.053 1.0002
500000 2977.87 -1.65696 500.035 0.99903
600000 2977.87 -1.40209 499.992 1.00033
700000 2977.87 -2.18546 500.123 0.99865
800000 2977.87 -1.98556 500.09 0.999429
900000 2977.87 -1.80383 500.059 0.998965
1000000 2977.87 -1.38141 499.989 0.999982
1100000 2977.87 -1.53815 500.015 0.999754
1200000 2977.87 -1.50697 500.01 1.00067
1300000 2977.87 -1.37829 499.988 0.99953
1400000 2977.87 -0.977244 499.921 1.0001
1500000 2977.87 -1.88977 500.074 0.999529
1600000 2977.87 -1.79677 500.058 1.00021
1700000 2977.87 -2.17242 500.121 0.998828
1800000 2977.87 -2.24136 500.133 0.999122
1900000 2977.87 -1.2441 499.966 1.00078
2000000 2977.87 -1.73868 500.049 0.999485
2100000 2977.87 -1.87614 500.072 0.999448
2200000 2977.87 -2.2547 500.135 0.998997
2300000 2977.87 -1.3932 499.991 1.00026
2400000 2977.87 -1.16457 499.952 0.999997
2500000 2977.87 -1.55869 500.018 1.00013
2600000 2977.87 -1.55116 500.017 0.998955
2700000 2977.87 -1.62696 500.03 0.99949
2800000 2977.87 -1.48731 500.006 0.999983
2900000 2977.87 -1.31359 499.977 0.999948
3000000 2977.87 -1.76526 500.053 0.998868
3100000 2977.87 -1.90916 500.077 1.00059
3200000 2977.87 -1.48449 500.006 0.999588
3300000 2977.87 -2.04571 500.1 0.999638
3400000 2977.87 -1.61227 500.027 0.999515
3500000 2977.87 -2.32314 500.147 0.999472
3600000 2977.87 -2.17685 500.122 0.998648
3700000 2977.87 -1.89205 500.074 0.999284
3800000 2977.87 -1.63313 500.031 0.998955
3900000 2977.87 -1.80976 500.06 0.999421
4000000 2977.87 -1.50879 500.01 0.999841
4100000 2977.87 -1.84639 500.066 0.999854
4200000 2977.87 -2.07941 500.105 1.00008
4300000 2977.87 -1.83827 500.065 0.999883
4400000 2977.87 -2.40875 500.161 0.999494
4500000 2977.87 -1.83492 500.065 0.9999
4600000 2977.87 -1.46648 500.003 0.999867
4700000 2977.87 -1.6708 500.037 0.999777
4800000 2977.87 -1.96097 500.086 1.00005
4900000 2977.87 -1.84728 500.067 1.00055
5000000 2977.87 -1.48739 500.007 0.999538
5100000 2977.87 -1.67344 500.038 0.999138
5200000 2977.87 -2.01068 500.094 0.99949
5300000 2977.87 -1.89404 500.074 0.999848
5400000 2977.87 -2.18305 500.123 0.999562
5500000 2977.87 -1.57173 500.021 0.998738
