Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 2.58201e+08
 100000 1.02554e+09
 150000 2.29129e+09
 200000 4.04494e+09
 250000 6.27622e+09
 300000 8.97507e+09
 350000 1.21316e+10
 400000 1.57363e+10
 450000 1.97796e+10
 500000 2.42524e+10
 550000 2.91455e+10
 600000 3.44502e+10
 650000 4.01578e+10
 700000 4.62598e+10
 750000 5.27479e+10
 800000 5.9614e+10
 850000 6.68501e+10
 900000 7.44486e+10
 950000 8.24017e+10
 1e+06 9.0702e+10
 1e+06 9.06969e+10
 2e+06 3.19415e+11
 3e+06 6.3837e+11
 4e+06 1.01634e+12
 5e+06 1.43296e+12
 6e+06 1.87489e+12
 7e+06 2.33339e+12
 8e+06 2.80275e+12
 9e+06 3.27923e+12
 1e+07 3.76039e+12
 1.1e+07 4.24462e+12
 1.2e+07 4.73091e+12
 1.3e+07 5.21856e+12
 1.4e+07 5.70711e+12
 1.5e+07 6.19624e+12
 1.6e+07 6.68578e+12
 1.7e+07 7.1756e+12
 1.8e+07 7.66568e+12
 1.9e+07 8.15597e+12
 2e+07 8.64638e+12
 2e+07 8.64828e+12
 4e+07 1.84728e+13
 6e+07 2.8319e+13
 8e+07 3.81535e+13
 1e+08 4.79876e+13
 1.2e+08 5.78401e+13
 1.4e+08 6.76977e+13
 1.6e+08 7.7522e+13
 1.8e+08 8.73432e+13
 2e+08 9.71668e+13
 2.2e+08 1.06985e+14
 2.4e+08 1.16838e+14
 2.6e+08 1.26706e+14
 2.8e+08 1.36588e+14
 3e+08 1.46504e+14
 3.2e+08 1.56447e+14
 3.4e+08 1.66366e+14
 3.6e+08 1.76322e+14
 3.8e+08 1.86263e+14
 4e+08 1.96271e+14
 4e+08 1.96855e+14
 8e+08 4.00481e+14
 1.2e+09 6.03597e+14
 1.6e+09 8.10582e+14
 2e+09 1.00921e+15
