# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 29569.7 0.76666 4962.37 0.998213 9.79527e-05
200000 29456.7 -0.154149 4943.56 0.998394 9.83952e-05
300000 29693.9 -0.285311 4983.38 0.997706 9.75177e-05
400000 30318 0.544146 5087.98 1.02187 9.78125e-05
500000 29557.9 -0.135626 4960.54 1.00204 9.84262e-05
600000 29855.2 -0.016896 5010.41 0.994604 9.66151e-05
700000 29655.4 -0.190045 4976.9 1.00947 9.8828e-05
800000 29846.5 0.143099 5008.92 1.01343 9.85336e-05
900000 29822.5 0.449392 5004.85 0.997694 9.71045e-05
1000000 29719.9 -0.0675176 4987.71 0.990157 9.67067e-05
1100000 29434.6 -0.102812 4939.83 0.966811 9.53135e-05
1200000 29756.8 0.854062 4993.74 0.998533 9.73425e-05
1300000 29883.3 -0.113003 5015.15 0.996537 9.6778e-05
1400000 29892.4 -0.0556265 5016.66 1.00361 9.7449e-05
1500000 29725.7 -0.0920243 4988.69 0.976834 9.53692e-05
1600000 29671.9 -0.129246 4979.67 1.00857 9.86636e-05
1700000 30074.4 -0.144832 5047.22 1.01008 9.75025e-05
1800000 29892.4 -0.0153948 5016.65 0.998638 9.69318e-05
1900000 29724.8 1.16639 4988.33 0.989129 9.65675e-05
2000000 29268 -0.0357444 4911.87 0.991773 9.83407e-05
2100000 29813.1 0.226085 5003.31 0.99483 9.68468e-05
2200000 30014.6 0.488315 5037.07 1.00773 9.74392e-05
2300000 29917.6 0.827688 5020.74 1.00564 9.75567e-05
2400000 29722.7 0.126133 4988.14 0.997161 9.73679e-05
2500000 29833.9 0.0512376 5006.82 1.01635 9.88584e-05
2600000 29782.6 3.48767 4997.63 0.986023 9.6039e-05
2700000 29757.5 -0.019664 4994 0.984744 9.60188e-05
2800000 29816.6 -0.0811051 5003.95 0.984917 9.58725e-05
2900000 29667.6 0.264247 4978.88 0.994534 9.72943e-05
3000000 29916 -0.103967 5020.63 1.00213 9.72547e-05
3100000 29719.9 3.02373 4987.18 0.994166 9.7047e-05
3200000 29554.6 4.42956 4959.22 0.985408 9.67107e-05
3300000 29672 -0.125304 4979.68 1.00065 9.78783e-05
3400000 29681.1 -0.0739067 4981.19 1.00522 9.83154e-05
3500000 29776.9 1.58214 4997.01 0.99853 9.72987e-05
3600000 29927.7 0.61021 5022.47 1.01058 9.79713e-05
3700000 29945.1 -0.190484 5025.53 1.00856 9.77503e-05
3800000 29555.5 -0.148387 4960.13 0.988385 9.70937e-05
3900000 29978.7 -0.155632 5031.16 0.99934 9.67764e-05
4000000 29880 -0.0214006 5014.57 0.997045 9.68437e-05
4100000 29969.2 -0.0781707 5029.55 1.02458 9.92391e-05
4200000 30301.2 -2.5862e-05 5085.25 1.00492 9.62578e-05
4300000 29884.4 -0.124346 5015.32 1.00673 9.77389e-05
4400000 29460.3 -0.0864213 4944.15 0.986773 9.72148e-05
4500000 29974.9 0.0362726 5030.49 1.00321 9.7126e-05
4600000 30310.2 -0.189132 5086.8 1.03131 9.87814e-05
4700000 29615.6 -0.0102747 4970.2 0.982792 9.63209e-05
4800000 29331.5 -0.0646113 4922.52 0.973238 9.63111e-05
4900000 29655.8 -0.105124 4976.97 0.990058 9.68663e-05
5000000 29145.5 -0.068013 4891.32 0.967363 9.63228e-05
5100000 29486.6 -0.193794 4948.58 0.983431 9.67863e-05
5200000 29807 -0.0134816 5002.32 1.00978 9.83244e-05
5300000 30037.2 2.73691 5040.5 0.99109 9.5721e-05
5400000 29767.9 0.698766 4995.64 1.00228 9.7691e-05
5500000 30023.8 0.258897 5038.66 1.00843 9.74762e-05
5600000 30148.8 -0.163204 5059.71 1.02548 9.8731e-05
5700000 29725.5 -0.236909 4988.68 0.997609 9.74177e-05
5800000 30143.7 -0.16038 5058.85 1.01585 9.78075e-05
5900000 30440.9 1.08198 5108.51 1.01348 9.66399e-05
6000000 29938.6 -0.0689823 5024.42 1.00112 9.70366e-05
6100000 29316.6 0.0448076 4920.01 0.990679 9.80668e-05
6200000 29567.9 -0.0713648 4962.21 0.999692 9.81377e-05
6300000 29931.1 -0.240077 5023.18 0.99642 9.66122e-05
6400000 29963.8 -0.0839408 5028.65 1.01538 9.83518e-05
6500000 29579.8 -0.120441 4964.21 0.978767 9.603e-05
6600000 29896 -0.0550671 5017.27 1.01013 9.80499e-05
6700000 29387.8 -0.217264 4932 0.991483 9.78873e-05
6800000 29857.1 -0.111548 5010.74 1.00459 9.76507e-05
6900000 29828.3 -0.110457 5005.91 1.00519 9.77858e-05
7000000 29954.7 0.531639 5027.02 1.00272 9.7137e-05
7100000 29810.3 -0.0819398 5002.89 1.00998 9.8324e-05
7200000 29748.5 -0.0607732 4992.52 0.989851 9.65669e-05
7300000 29684.4 -0.224734 4981.78 0.99414 9.72011e-05
7400000 29826.3 -0.237999 5005.59 0.991954 9.65109e-05
7500000 29411.6 -0.177392 4935.99 0.988102 9.75182e-05
7600000 30051 0.0605737 5043.26 1.01081 9.76115e-05
7700000 29572.1 -0.0186407 4962.9 0.985802 9.67529e-05
7800000 29598.2 -0.218585 4967.31 0.998422 9.793e-05
7900000 29708.6 0.716981 4985.69 0.985682 9.62759e-05
8000000 29989.1 -0.0505915 5032.88 1.01465 9.81855e-05
8100000 29959.1 -0.319895 5027.89 1.0052 9.73782e-05
8200000 29630.3 -0.0183225 4972.67 0.9795 9.59448e-05
8300000 29745 0.79037 4991.79 1.01958 9.94707e-05
8400000 29746.2 -0.000807021 4992.11 1.01024 9.85706e-05
8500000 29973.3 0.403057 5030.16 0.99197 9.6054e-05
8600000 29678.3 -0.239026 4980.76 0.985103 9.63154e-05
8700000 29116.9 -0.157261 4886.53 0.967001 9.63893e-05
8800000 29617.4 0.48924 4970.42 0.999667 9.79467e-05
8900000 30034.9 -0.0370228 5040.58 0.998496 9.65016e-05
9000000 30188.8 0.571394 5066.3 1.0138 9.74322e-05
9100000 29922 -0.15083 5021.65 1.00658 9.76423e-05
9200000 29488.3 -0.205182 4948.86 0.980954 9.6563e-05
9300000 30104.9 1.08928 5052.12 0.998547 9.62414e-05
9400000 29745.5 -0.117643 4992.02 0.982192 9.58421e-05
9500000 30005 -0.0126112 5035.54 1.01354 9.80324e-05
9600000 29988.2 -0.151123 5032.76 0.992067 9.60187e-05
9700000 30121.7 -0.191185 5055.16 1.00784 9.71026e-05
9800000 29965.1 -0.250512 5028.9 1.01261 9.80921e-05
9900000 30002.9 -0.121591 5035.21 1.00414 9.71614e-05
10000000 29665.1 -0.119702 4978.52 1.00485 9.83148e-05
