Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.65809e-15
 100000 4.33406e-15
 150000 7.45832e-15
 200000 1.09087e-14
 250000 1.46444e-14
 300000 1.86376e-14
 350000 2.2879e-14
 400000 2.73801e-14
 450000 3.21402e-14
 500000 3.7137e-14
 550000 4.23624e-14
 600000 4.78193e-14
 650000 5.35146e-14
 700000 5.9441e-14
 750000 6.55918e-14
 800000 7.19783e-14
 850000 7.85998e-14
 900000 8.54451e-14
 950000 9.2509e-14
 1e+06 9.97961e-14
 1e+06 9.98361e-14
 2e+06 2.94213e-13
 3e+06 5.82808e-13
 4e+06 9.64435e-13
 5e+06 1.4403e-12
 6e+06 2.01025e-12
 7e+06 2.67418e-12
 8e+06 3.43051e-12
 9e+06 4.28068e-12
 1e+07 5.22337e-12
 1.1e+07 6.26187e-12
 1.2e+07 7.39197e-12
 1.3e+07 8.61659e-12
 1.4e+07 9.93608e-12
 1.5e+07 1.13481e-11
 1.6e+07 1.2854e-11
 1.7e+07 1.44532e-11
 1.8e+07 1.61454e-11
 1.9e+07 1.79338e-11
 2e+07 1.98125e-11
 2e+07 1.98635e-11
 4e+07 7.71358e-11
 6e+07 1.71723e-10
 8e+07 3.04192e-10
 1e+08 4.75167e-10
 1.2e+08 6.84612e-10
 1.4e+08 9.32387e-10
 1.6e+08 1.21809e-09
 1.8e+08 1.54271e-09
 2e+08 1.90667e-09
 2.2e+08 2.30981e-09
 2.4e+08 2.74988e-09
 2.6e+08 3.22968e-09
 2.8e+08 3.74942e-09
 3e+08 4.30644e-09
 3.2e+08 4.89973e-09
 3.4e+08 5.53218e-09
 3.6e+08 6.2014e-09
 3.8e+08 6.90762e-09
 4e+08 7.65165e-09
 4e+08 7.3099e-09
 8e+08 2.93163e-08
 1.2e+09 6.43785e-08
 1.6e+09 1.12437e-07
 2e+09 1.64441e-07
