# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 54180 -0.155594 9092.7 1.00977
200000 53347.3 -0.019014 8952.94 0.99424
300000 53656.9 0.23717 9004.85 1.00005
400000 53115.3 1.7923 8913.69 0.990062
500000 54021.8 -0.00783604 9066.13 1.00681
600000 54172 -0.10489 9091.36 1.00963
700000 52826.9 0.207404 8865.56 0.984577
800000 53335.6 -0.113567 8950.99 0.994019
900000 53623.7 -0.0241121 8999.33 0.999391
1000000 53378.4 -0.0273826 8958.16 0.994819
1100000 53538.6 -0.00274685 8985.04 0.997806
1200000 53260.6 -0.104782 8938.4 0.992624
1300000 53688.3 0.0291926 9010.15 1.00061
1400000 53833.3 -0.0317202 9034.5 1.0033
1500000 54186.8 -0.0311877 9093.83 1.00988
1600000 53632.3 -0.0221805 9000.76 0.999551
1700000 52862.3 -0.0742929 8871.55 0.985198
1800000 53743.7 -0.0398704 9019.46 1.00163
1900000 53801.3 -0.00670988 9029.13 1.0027
2000000 53299.3 -0.00793797 8944.89 0.993347
2100000 53677 0.974453 9008.11 1.00053
2200000 53428.5 0.0896415 8966.54 0.995775
2300000 53765.1 -0.0893311 9023.06 1.00202
2400000 53555.7 -0.0320408 8987.92 0.998123
2500000 53207.1 1.58228 8929.14 0.991759
2600000 53869.1 -0.147907 9040.52 1.00397
2700000 53517.1 -0.128827 8981.45 0.997406
2800000 53473.9 1.92963 8973.86 0.996762
2900000 52916.6 4.53945 8879.9 0.986533
3000000 54616.8 -0.0732121 9166 1.0179
3100000 53856.7 1.27892 9038.2 1.00385
3200000 54171.1 -0.0610477 9091.2 1.0096
3300000 54208.5 -0.00696227 9097.47 1.01029
3400000 53112.7 -0.0559426 8913.57 0.989868
3500000 53338.5 -0.0682954 8951.47 0.994074
3600000 53302.4 0.342804 8945.34 0.993457
3700000 53621.2 -0.00818789 8998.9 0.999345
3800000 53201.1 2.02535 8928.06 0.991675
3900000 53194.3 1.91143 8926.94 0.991545
4000000 53387 -0.0239715 8959.59 0.994979
4100000 53695.6 0.0959496 9011.37 1.00076
4200000 54168.7 -0.0658895 9090.79 1.00955
4300000 53873 -0.0124127 9041.16 1.00404
4400000 52929.3 -0.063721 8882.8 0.986454
4500000 54022.5 0.495397 9066.16 1.00688
4600000 53595.7 -0.0792617 8994.63 0.998869
4700000 53910.4 0.223069 9047.4 1.00477
4800000 52953.9 0.0163022 8886.91 0.986938
4900000 53586.1 0.014216 8993.01 0.998708
5000000 54195.4 -0.0130409 9095.26 1.01005
5100000 52752.1 -0.0430169 8853.05 0.983146
5200000 52803.7 -0.0215646 8861.7 0.984108
5300000 52898.8 -0.0514899 8877.67 0.985879
5400000 53194.8 -0.00802862 8927.34 0.991411
5500000 53117 -0.0207238 8914.28 0.989947
5600000 53271 0.409067 8940.07 0.99287
5700000 53536 -0.0584769 8984.62 0.997766
5800000 53629.1 -0.0452186 9000.23 0.999489
5900000 53427.1 -0.063945 8966.34 0.995726
6000000 54463.7 0.752149 9140.17 1.01514
6100000 53813.1 -0.0401409 9031.11 1.00292
6200000 53598.6 -0.0433658 8995.11 0.998922
6300000 53813.3 -0.124534 9031.17 1.00292
6400000 54276.6 -0.090463 9108.9 1.01156
6500000 53188.6 -0.0586276 8926.31 0.991288
6600000 54264.5 -0.125269 9106.89 1.01134
6700000 53978.3 0.274319 9058.78 1.00604
6800000 53289.5 -0.047252 8943.24 0.993162
6900000 53394.8 -0.149292 8960.93 0.995134
7000000 53175 -0.00920085 8924.01 0.991028
7100000 53659.2 -0.108037 9005.3 1.00005
7200000 53878.1 -0.0400601 9042.02 1.00413
7300000 53651.3 0.669694 9003.84 0.99998
7400000 53917.8 -0.0741002 9048.68 1.00487
7500000 53083.6 0.818321 8908.54 0.989417
7600000 53528.3 -0.0453334 8983.32 0.99762
7700000 53634.4 -0.0699888 9001.13 0.999592
7800000 53047.6 -0.0341199 8902.64 0.988653
7900000 53932.6 -0.00956574 9051.17 1.00515
8000000 53648.1 0.0823338 9003.41 0.99987
8100000 53806.5 -0.0793262 9030.02 1.0028
8200000 52754 0.0614757 8853.35 0.983214
8300000 53563.8 2.16813 8988.91 0.998444
8400000 53585.2 -0.0843713 8992.87 0.998674
8500000 52798.9 -0.0495295 8860.91 0.984019
8600000 53597.5 -0.115524 8994.95 0.998901
8700000 53667.9 -0.0286533 9006.75 1.00022
8800000 53616.5 -0.00406156 8998.12 0.999258
8900000 53971.3 -0.057384 9057.66 1.00587
9000000 53233.8 -0.0581819 8933.9 0.992126
9100000 53865.3 0.0401138 9039.86 1.00392
9200000 53454.7 -0.093528 8970.97 0.996241
9300000 53610.3 1.50177 8996.83 0.999274
9400000 53943.9 -0.0224494 9053.06 1.00536
9500000 53599.6 -0.0412704 8995.29 0.998941
9600000 53795.8 -0.00245171 9028.2 1.00262
9700000 52182.4 0.98523 8757.28 0.972625
9800000 54348.7 -0.0309209 9121 1.0129
9900000 53740 0.416213 9018.77 1.00161
10000000 53530.4 -0.197363 8983.69 0.99765
